|question|ps_0|ps_1|ps_2|right_answer_id
0|Одним из остатков этого государства прежний статус как владение Францией является тот факт, что он был назван в честь французского короля.|Оклахома|Флорида|Луизиана|2.0
1|Самое большое озеро в этом штате - озеро окехоби. Государство также является домом для одного из двух естественных круглых озер в мире.|Гавайи|Теннесси|Флорида|2.0
2|Какая государственная столица Вашингтона?|Олимпия|Сиэтл|Walla Walla|0.0
3|Какова государственная столица Калифорнии?|Сакраменто|Лос-Анджелес|Сан-Диего|0.0
4|Что такое государственная столица Айдахо?|Бойсе|Айдахо-Фолс|Покателло|0.0
5|Какая государственная столица Невады?|Reno|Лас-Вегас|Carson City|2.0
6|Что такое государственная столица Аризоны?|Феникс|Кингман|Тусон|0.0
7|Какова государственная столица Аляски?|Kodiak|Juneau|Анкоридж|1.0
8|Во время Второй мировой войны эта страна смогла успешно защищать свою свободу и противостоять вторжениям Советского Союза - несмотря на некоторую потерю территории. Он присоединился к Европейскому союзу в 1995 году.|Польша|Чехия|Финляндия|2.0
9|Когда-то был Центр власти для империи. Оккупирован союзниками в 1945 году, государственный договор завершил свою профессию в 1955 году и признал свою независимость.|Бельгия|Дания|Австрия|2.0
10|Эта страна дома до самого северного капитала в материковой Европе?|Швеция|Дания|Финляндия|2.0
11|Это шестая по величине страна и дом доктора ветерок.|Украина|Канада|Австралия|2.0
12|Его трехлетнее социалистическое правительство было свергнуто в 1973 году диктаторским военным режимом во главе с Аугуоном Пиношем.|Перу|Парагвай|Чили|2.0
13|Эта страна доминирует в эгическом море и обладает архипелагом около 2000 островов.|Италия|Кипр|Греция|2.0
14|Эта страна контролирует полуостровом Синай. После завершения Суэцкого канала в 1869 году стало важным мировым транспортным центром.|Таиланд|Египет|Гонконг|1.0
16|Первая американская столица. У него есть ник-имя, придуманное музыкантами - это значит играть большое время.|Washington D.C.|нью-йорк|Бостон|1.0
17|Кабельные автомобили этого города - единственный мобильный национальный памятник.|Оклахома|Сан-Франциско|Невада|1.0
