|question|ps_0|ps_1|ps_2|right_answer_id
0|Как называется половина основного времени матча в футболе?|Тайм|Период|Гейм|0
1|Какая из указанных команд чаще других становилась чемпионом мира по хоккею?|Россия|Англия|Чехия|0
2|В каком году мужская сборная СССР по баскетболу впервые выиграла золото на Олимпийских играх?|1972|1980|1988|0
3|Как называется технология, используемая для бесконтактной оплаты в большинстве современных телефонов?|NFC|Android Pay|Apple Pay|0
4|Где в 2014 году проходил Чемпионат мира по футболу?|Бразилия|Новая Зеландия|Германия|0
5|Сколько смог продержаться под водой без воздуха хорватский рекордсмен Будимир Шобат?|24 минуты 11 секунд|23 минуты 38 секунд|22 минуты 22 секунды|0
6|В какой стране полька является национальным танцем?|Чехия|Польша|Дания|0
7|Какая из этих картин получила «Оскар» в номинации «Лучший фильм» в 2018 году?|«Дюнкерк»|«Форма воды»|«Бегущий по лезвию 2049»|1
8|Сколько фильмов в серии «Пираты Карибского моря»?|6|5|4|1
9|Основателем какой всемирно известной компании стал дядя Карла Маркса?|Sony|Philips|Samsung|1
10|Что такое пендельтюр?|Предмет одежды|Приём в футболе|Дверь на качающихся петлях|2
11|Где заканчивается малый круг кровообращения у человека?|Левое предсердие|Левый желудочек|Правое предсердие|0
12|Какое самое замечательное число, по мнению Шелдона Купера из сериала «Теория Большого взрыва»?|73|21|1|0
13|В каком году был спущен на воду крейсер «Варяг»?|1899|1901|1904|0
14|Как называется пиратский флаг?|«Грустный Джон»|«Смелый Карл»|«Весёлый Роджер»|2
15|Какой писатель завещал после смерти сжечь почти все свои произведения?|Эрнест Хемингуэй|Фёдор Достоевский|Франц Кафка|2
16|С какого расстояния назначают пенальти в футболе?|11 метров|10 метров|12 метров|0
17|Кто озвучивал кота Матроскина в мультфильме «Трое из Простоквашино»?|Василий Ливанов|Олег Табаков|Евгений Леонов|1
18|Как называется единица генетической информации?|Геноцид|Ген|Генетика|1
19|Кто ковал молнии Зевсу?|Геркулес|Гермес|Гефест|2
20|Какая из этих змей НЕ является ядовитой?|Бумсланг|Тайпан|Обыкновенная медянка|2
21|Сколько планет — газовых гигантов в Солнечной системе?|2|3|4|2
22|Какая из этих морфем находится перед корнем?|Суффикс|Постфикс|Приставка|2
23|Сколько кругов ада описано в «Божественной комедии» Данте Алигьери?|9|10|7|0
24|Как зовут главного героя игры «Need for Speed: ProStreet»?|Райан Рэйнольдс|Райан Купер|Джек Рурк|1
25|Как называется народный марийский духовой инструмент, похожий на волынку?|Шиялтыш|Шувыр|Тумыр|1
26|Как раньше называлась столица Республики Коми Сыктывкар?|Усть-Сысольск|Вуктыл|Воркута|0
27|Где находится город Сент-Питерсберг?|Румыния|США|Бельгия|1
28|Что такое «микология»?|Наука о грибах|Наука о бактериях|Наука о растениях|0
29|Какой фильм взял больше всего «Оскаров» в 2018 году?|«Форма воды»|«Дюнкерк»|«Три билборда на границе Эббинга, Миссури»|0
30|Что такое «петрикор»?|Болезнь|Запах|Прибор|1
31|Кто был ведущим премии «Оскар» в 2018 году?|Эллен Дедженерес|Джимми Фэллон|Джимми Киммел|2
32|Сколько спутников у планеты Марс?|3|2|Ни одного|1
33|Кто отменил крепостное право?|Пётр I|Александр I|Александр II|2
34|В какой стране родился Арнольд Шварценеггер?|Венгрия|Германия|Австрия|2
35|Какой формат бумаги имеет размеры 210x297 мм?|А3|А4|А2|1
36|Сколько пальцев на каждой руке было у создателя дневников в «Гравити Фолз»?|6|5|4|0
37|Что означало слово «школа» для древних греков?|Работа|Досуг|Каторга|1
38|Какой композитор носил прозвище «рыжий монах»?|Александр Бородин|Антонио Вивальди|Арам Хачатурян|1
39|Кому никто не пишет в песне группы «Би-2»?|Майору|Полковнику|Лейтенанту|1
40|Какой город является столицей Республики Казахстан?|Астана|Алма-Ата|Караганда|0
41|За какую команду играет футболист Федор Смолов?|Краснодар|Спартак|Локомотив|2
42|Матчи в кубке Дэвиса состоят из такого количества одиночных встреч.|4|9|6|0
43|Какие семьи, по мнению Л. Н. Толстого, похожи друг на друга?|Молодые|Счастливые|Многодетные|1
44|Кто прославился благодаря треку «Black Siemens»?|ЛСП|Pharaoh|Lil Pump|1
45|Кто командовал Парадом Победы на Красной площади в Москве 24 июня 1945 года?|Г. К. Жуков|К. К. Рокоссовский|И. В. Сталин|1
46|Кто забил знаменитый гол рукой, который в футбольном сообществе затем назвали «рукой Бога»?|Марадона|Пеле|Месси|0
47|Что такое «инкремент»?|Отходы жизнедеятельности организма|Химический элемент|Операция увеличения числа|2
48|К какому семейству относится ананас?|Бромелиевые|Рутовые|Паслёновые|0
49|В какой стране находится крупнейший футбольный стадион в мире?|Мексика|Северная Корея|Индия|1
50|В какой стране появилась мандолина?|В Испании|В Греции|В Италии|2
51|Кто из этих знаменитых личностей НЕ является современником А. С. Пушкина?|Томас Эдисон|Авраам Линкольн|Артур Шопенгауэр|0
52|Кто из этих русских царей царствовал раньше?|Петр III|Иван VI|Павел II|1
53|Какая страна считается родиной кофе?|Эфиопия|Индонезия|Индия|0
54|Как называется толстая хлопчатобумажная ткань с начёсом на внутренней поверхности и гладкой лицевой стороной?|Тактел|Шанжан|Молескин|2
55|Про какую жвачку поётся в песне группы «Сплин»?|«Орбит»|«Дирол»|«Эклипс»|0
56|Какой футболист получил «Золотой мяч» в 2012 году?|Криштиану Роналду|Лионель Месси|Андрес Иньеста|1
57|Какая из этих надписей присутствует на долларах США?|In God We Trust|Make America Great Аgain|God Save the President|0
58|Какой город до 1961 года назывался Сталинград?|Екатеринбург|Волгоград|Петербург|1
59|Как звали Брежнева?|Владимир Ильич|Александр Ильич|Леонид Ильич|2
60|Кто победил на Олимпийских играх 2016 года в Рио-де-Жанейро на соревнованиях по гандболу среди женщин?|Франция|Норвегия|Россия|2
61|Драгоценный камень какого цвета раньше называли «карбункул»?|Красный|Черный|Желтый|0
62|С какой из этих стран Чехия НЕ граничит?|Германия|Венгрия|Австрия|1
63|Именно столько камней в знаменитом саду монастыря Рёандзи|15|21|101|0
64|Сборная какой страны по волейболу одержала победу на Олимпийских играх 2012 года?|Россия|США|Бразилия|0
65|Какая татуировка на шее у рэпера Oxxxymiron'а?|ХХХ|1703|1812|1
66|Что такое «рамбутан»?|Фрукт|Вид обезьян|Разновидность рыб|0
67|Кто считается самым титулованным футболистом в истории?|Дани Алвес|Криштиану Роналду|Лионель Месси|0
68|Какая актриса сыграла Анну Герман в одноимённом сериале?|Йоанна Моро|Мариэта Жуковская|Агнешка Сенкевич|0
69|Как крестятся староверы?|Четырьмя пальцами|Двумя пальцами|Тремя пальцами|1
70|В каком году сборная СССР по футболу стала чемпионами Европы?|1964|1968|1960|2
71|Какая страна являлась лидером Кальмарской унии?|Гольштейн|Швеция|Дания|2
72|Что делают во сне люди, старадющие сомнамбулизмом?|Поют|Летают|Ходят|2
73|Какая из этих команд ни разу НЕ выигрывала Лигу чемпионов?|Пари Сен-Жермен|Црвена Звезда|Стяуа|0
74|В каком году начинается действие в романе И. С. Тургенева «Отцы и дети»?|1859|1862|1856|0
75|Какой из этих городов НЕ находится на берегу Азовского моря?|Цимлянск|Ейск|Бердянск|0
76|Что в свободное время мастерил Дмитрий Иванович Менделеев?|Чемоданы|Игрушки|Мебель|0
77|В каком году началась Первая мировая война?|1941|1914|1939|1
78|В какой стране родился Винсент Ван Гог?|Нидерланды|Италия|Германия|0
79|Какая страна НЕ входит в Европейский союз?|Ирландия|Исландия|Греция|1
80|Именно столько ребер должен иметь куб.|12|10|15|0
81|Сколько продолжался первый выход в открытый космос, совершенный Алексеем Леоновым?|12 минут|23 минуты|14 минут|0
